"[0.012676715850830078, 0.0015950202941894531]"
"[0.010544776916503906, 0.0008625984191894531]"
"[0.010129690170288086, 0.0007317066192626953]"
"[0.010116338729858398, 0.0010564327239990234]"
"[0.010497331619262695, 0.0009455680847167969]"
"[0.010309219360351562, 0.0008130073547363281]"
"[0.010576486587524414, 0.0010688304901123047]"
"[0.011288166046142578, 0.0007436275482177734]"
"[0.011403560638427734, 0.001374959945678711]"
"[0.011366605758666992, 0.0007989406585693359]"
"[0.011084556579589844, 0.0016624927520751953]"
"[0.010401248931884766, 0.0007724761962890625]"
"[0.010539531707763672, 0.0006928443908691406]"
"[0.010630369186401367, 0.0011153221130371094]"
"[0.010630607604980469, 0.0007884502410888672]"
"[0.010300397872924805, 0.0008447170257568359]"
"[0.011765718460083008, 0.0011789798736572266]"
"[0.010347366333007812, 0.0007843971252441406]"
"[0.010272979736328125, 0.0007207393646240234]"
"[0.011354684829711914, 0.0014264583587646484]"
"[0.01190805435180664, 0.0007879734039306641]"
"[0.013724565505981445, 0.0017809867858886719]"
"[0.010566949844360352, 0.0009996891021728516]"
"[0.015467405319213867, 0.0014340877532958984]"
"[0.015219688415527344, 0.001611948013305664]"
"[0.01085352897644043, 0.0008907318115234375]"
"[0.013991355895996094, 0.0013628005981445312]"
"[0.010393619537353516, 0.0008311271667480469]"
"[0.010944366455078125, 0.000675201416015625]"
"[0.017209291458129883, 0.00107574462890625]"
"[0.018122196197509766, 0.0029611587524414062]"
"[0.013290882110595703, 0.0014295578002929688]"
"[0.01175069808959961, 0.0007529258728027344]"
"[0.014548778533935547, 0.0014348030090332031]"
"[0.015197992324829102, 0.0009288787841796875]"
"[0.01055288314819336, 0.0007741451263427734]"
"[0.010728597640991211, 0.0006897449493408203]"
"[0.010467052459716797, 0.000820159912109375]"
"[0.011471271514892578, 0.001260995864868164]"
"[0.010368108749389648, 0.0009222030639648438]"
"[0.0104217529296875, 0.0025620460510253906]"
"[0.010424137115478516, 0.0007114410400390625]"
"[0.010519742965698242, 0.0014188289642333984]"
"[0.011260032653808594, 0.001607656478881836]"
"[0.014080047607421875, 0.0025565624237060547]"
"[0.010581493377685547, 0.00090789794921875]"
"[0.01113438606262207, 0.001714944839477539]"
"[0.01057577133178711, 0.0009424686431884766]"
"[0.009975910186767578, 0.0017201900482177734]"
"[0.010889530181884766, 0.0008077621459960938]"
"[0.010493755340576172, 0.0013723373413085938]"
"[0.010212421417236328, 0.001338958740234375]"
"[0.012493133544921875, 0.0009424686431884766]"
"[0.010320186614990234, 0.0007927417755126953]"
"[0.010126829147338867, 0.0007219314575195312]"
"[0.010071039199829102, 0.002237558364868164]"
"[0.011260747909545898, 0.0015153884887695312]"
"[0.010053157806396484, 0.00080108642578125]"
"[0.012439250946044922, 0.0014848709106445312]"
"[0.01082301139831543, 0.0008401870727539062]"
"[0.010760068893432617, 0.0010228157043457031]"
"[0.010193109512329102, 0.0008852481842041016]"
"[0.010308265686035156, 0.0007567405700683594]"
"[0.010358095169067383, 0.0007522106170654297]"
"[0.01022791862487793, 0.0008985996246337891]"
"[0.010759592056274414, 0.0008444786071777344]"
"[0.010807037353515625, 0.0006773471832275391]"
"[0.01042032241821289, 0.0009055137634277344]"
"[0.010747432708740234, 0.0008749961853027344]"
"[0.010348796844482422, 0.0008304119110107422]"
"[0.011236190795898438, 0.0012390613555908203]"
"[0.010181903839111328, 0.0010406970977783203]"
"[0.010152816772460938, 0.0007424354553222656]"
"[0.010210990905761719, 0.0008368492126464844]"
"[0.010703802108764648, 0.001104593276977539]"
"[0.010134458541870117, 0.0009152889251708984]"
"[0.010156631469726562, 0.0013096332550048828]"
"[0.011974334716796875, 0.0014042854309082031]"
"[0.012346267700195312, 0.0009486675262451172]"
"[0.010599613189697266, 0.0011036396026611328]"
"[0.010344505310058594, 0.0015041828155517578]"
"[0.010226726531982422, 0.001260995864868164]"
"[0.012314081192016602, 0.0008795261383056641]"
"[0.010166168212890625, 0.0008223056793212891]"
"[0.01015019416809082, 0.0010025501251220703]"
"[0.010673284530639648, 0.0008091926574707031]"
"[0.01108241081237793, 0.0013659000396728516]"
"[0.010781526565551758, 0.0007796287536621094]"
"[0.010572671890258789, 0.000762939453125]"
"[0.010510444641113281, 0.0016808509826660156]"
"[0.010307073593139648, 0.0011093616485595703]"
"[0.010242700576782227, 0.0007832050323486328]"
"[0.01033163070678711, 0.0017218589782714844]"
"[0.011958122253417969, 0.001409292221069336]"
"[0.011623620986938477, 0.0012180805206298828]"
"[0.010647773742675781, 0.0008702278137207031]"
"[0.011436939239501953, 0.0011973381042480469]"
"[0.010292530059814453, 0.0008502006530761719]"
"[0.010234594345092773, 0.0008566379547119141]"
"[0.010155200958251953, 0.0007622241973876953]"
"[0.010834217071533203, 0.0010502338409423828]"
"[0.010228157043457031, 0.0007917881011962891]"
"[0.010432004928588867, 0.0008380413055419922]"
"[0.010253429412841797, 0.0007555484771728516]"
"[0.010088920593261719, 0.0016803741455078125]"
"[0.0103912353515625, 0.0007441043853759766]"
"[0.010890960693359375, 0.001176595687866211]"
"[0.010200977325439453, 0.001210927963256836]"
"[0.01167440414428711, 0.0017132759094238281]"
"[0.010140657424926758, 0.0008630752563476562]"
"[0.010605812072753906, 0.0010025501251220703]"
"[0.010259151458740234, 0.0022025108337402344]"
"[0.011383056640625, 0.0010693073272705078]"
"[0.010193109512329102, 0.0017321109771728516]"
"[0.010113239288330078, 0.0018465518951416016]"
"[0.010219097137451172, 0.0019080638885498047]"
"[0.011075258255004883, 0.0015130043029785156]"
"[0.010558843612670898, 0.0018529891967773438]"
"[0.010087013244628906, 0.0007126331329345703]"
"[0.010658979415893555, 0.0023572444915771484]"
"[0.011786460876464844, 0.0014033317565917969]"
"[0.010311365127563477, 0.0008025169372558594]"
"[0.010150432586669922, 0.0007796287536621094]"
"[0.010294198989868164, 0.0007402896881103516]"
"[0.010894536972045898, 0.0016398429870605469]"
"[0.010189294815063477, 0.0008172988891601562]"
"[0.010682106018066406, 0.0006906986236572266]"
"[0.010398387908935547, 0.0008950233459472656]"
"[0.010300159454345703, 0.0007653236389160156]"
"[0.010273456573486328, 0.0007486343383789062]"
"[0.010676145553588867, 0.0014307498931884766]"
"[0.010263681411743164, 0.0008101463317871094]"
"[0.009980201721191406, 0.0009446144104003906]"
"[0.01059579849243164, 0.0018541812896728516]"
"[0.01257014274597168, 0.0007998943328857422]"
"[0.010164976119995117, 0.0018467903137207031]"
"[0.011340856552124023, 0.0014262199401855469]"
"[0.010176420211791992, 0.0021736621856689453]"
"[0.011572837829589844, 0.001432180404663086]"
"[0.010024070739746094, 0.0009801387786865234]"
"[0.010593175888061523, 0.000743865966796875]"
"[0.010575532913208008, 0.0007970333099365234]"
"[0.011117696762084961, 0.0015170574188232422]"
"[0.010478496551513672, 0.001107931137084961]"
"[0.010272502899169922, 0.0006864070892333984]"
"[0.01077127456665039, 0.0008044242858886719]"
"[0.010902166366577148, 0.0014138221740722656]"
"[0.01067972183227539, 0.0008194446563720703]"
"[0.010241270065307617, 0.0007047653198242188]"
"[0.010419130325317383, 0.0008294582366943359]"
"[0.010709047317504883, 0.0023479461669921875]"
"[0.010249853134155273, 0.0008969306945800781]"
"[0.010342121124267578, 0.0007176399230957031]"
"[0.011658906936645508, 0.0015857219696044922]"
"[0.011698246002197266, 0.00081634521484375]"
"[0.010504484176635742, 0.0007944107055664062]"
"[0.010942220687866211, 0.0013952255249023438]"
"[0.010953664779663086, 0.0008842945098876953]"
"[0.012314319610595703, 0.0017240047454833984]"
"[0.010226011276245117, 0.0007958412170410156]"
"[0.01007986068725586, 0.0006797313690185547]"
"[0.00995016098022461, 0.0007321834564208984]"
"[0.011413812637329102, 0.0009796619415283203]"
"[0.010180473327636719, 0.0008008480072021484]"
"[0.010320901870727539, 0.0006711483001708984]"
"[0.011321544647216797, 0.0012013912200927734]"
"[0.011700868606567383, 0.0009369850158691406]"
"[0.010379314422607422, 0.0010342597961425781]"
"[0.010300874710083008, 0.0017728805541992188]"
"[0.010253190994262695, 0.0008549690246582031]"
"[0.011373281478881836, 0.0009884834289550781]"
"[0.010649919509887695, 0.001241922378540039]"
"[0.011923551559448242, 0.0011157989501953125]"
"[0.010432243347167969, 0.0008382797241210938]"
"[0.010176420211791992, 0.0007534027099609375]"
"[0.010037422180175781, 0.0008082389831542969]"
"[0.010467052459716797, 0.001386404037475586]"
"[0.010215044021606445, 0.0007622241973876953]"
"[0.01053309440612793, 0.0007650852203369141]"
"[0.010276556015014648, 0.0009138584136962891]"
"[0.010833024978637695, 0.0018041133880615234]"
"[0.010309457778930664, 0.000782012939453125]"
"[0.010446548461914062, 0.0007326602935791016]"
"[0.010818719863891602, 0.0008006095886230469]"
"[0.010514259338378906, 0.0010230541229248047]"
"[0.011177778244018555, 0.0008080005645751953]"
"[0.012112140655517578, 0.0014960765838623047]"
"[0.01074838638305664, 0.0015795230865478516]"
"[0.012217044830322266, 0.0010476112365722656]"
"[0.010617971420288086, 0.0012292861938476562]"
"[0.011135101318359375, 0.0012621879577636719]"
"[0.010318756103515625, 0.0008103847503662109]"
"[0.010242700576782227, 0.0016007423400878906]"
"[0.014636754989624023, 0.002608060836791992]"
"[0.015897750854492188, 0.0009968280792236328]"
"[0.01228785514831543, 0.001180887222290039]"
"[0.013455390930175781, 0.0011894702911376953]"
"[0.012854337692260742, 0.0010826587677001953]"
"[0.01387476921081543, 0.0014753341674804688]"
"[0.011216163635253906, 0.0012154579162597656]"
"[0.011690616607666016, 0.0009047985076904297]"
"[0.010227680206298828, 0.0007946491241455078]"
"[0.010833978652954102, 0.0020377635955810547]"
"[0.010575532913208008, 0.0009086132049560547]"
"[0.010244131088256836, 0.0014264583587646484]"
